fuente_id,titulo,url,fecha,medio_autor,nota,url_archivo
f-001,Post Instagram Almacenes El Éxito,https://instagram.com/p/ejemplo1,2025-03-15,Almacenes El Éxito,"Apoyamos la visión de país de Abelardo",https://web.archive.org/web/20250315/https://instagram.com/p/ejemplo1
f-002,Nota RCN Radio sobre Bar La Rumba,https://rcnradio.com/nota-ejemplo,2025-04-20,RCN Radio,"El dueño del Bar La Rumba expresó su respaldo público",https://web.archive.org/web/20250420/https://rcnradio.com/nota-ejemplo
f-003,Video YouTube Restaurante El Sabor,https://youtube.com/watch?v=ejemplo,2025-05-10,Restaurante El Sabor,"Declaración en video del gerente expresando apoyo",https://web.archive.org/web/20250510/https://youtube.com/watch?v=ejemplo
f-004,Post Facebook Veterinaria Patitas,https://facebook.com/post/ejemplo,2025-06-01,Veterinaria Patitas,"Nos sumamos al proyecto de Abelardo",
f-005,Evento público Feria de Cali,https://feriadecali.com/evento,2025-01-05,Feria de Cali,"Participación en evento de campaña",https://web.archive.org/web/20250105/https://feriadecali.com/evento
f-006,Nota El Tiempo sobre Influencer María,https://eltiempo.com/nota-maria,2025-02-28,El Tiempo,"La influencer María López declaró su apoyo",https://web.archive.org/web/20250228/https://eltiempo.com/nota-maria
f-007,Post X de Café El Aroma,https://x.com/cafelaroma/status/123,2025-03-20,Café El Aroma,"Creemos en el cambio que propone Abelardo",
f-008,Nota Caracol sobre Gran Superficie,https://caracol.com/nota-superficie,2025-04-15,Caracol Radio,"Directivos de la cadena expresaron respaldo",https://web.archive.org/web/20250415/https://caracol.com/nota-superficie
f-009,Post TikTok Tienda Moda Bella,https://tiktok.com/@modabella/video/123,2025-05-25,Tienda Moda Bella,"Video de apoyo del equipo de la tienda",
f-010,Entrevista Blu Radio con Consultor,https://bluradio.com/entrevista,2025-06-10,Blu Radio,"El consultor empresarial Juan Pérez expresó su apoyo",https://web.archive.org/web/20250610/https://bluradio.com/entrevista
f-011,Post Instagram Bar Nocturno,https://instagram.com/p/barnoc,2025-01-20,Bar Nocturno Bogotá,"Nos unimos al movimiento",
f-012,Nota Semana sobre cadena de restaurantes,https://semana.com/nota-cadena,2025-02-15,Revista Semana,"La cadena de restaurantes anunció su apoyo",https://web.archive.org/web/20250215/https://semana.com/nota-cadena
f-013,Video Instagram Gimnasio FitPlus,https://instagram.com/p/fitplus,2025-03-01,Gimnasio FitPlus,"Apoyamos un país más saludable con Abelardo",
f-014,Post Facebook Librería Central,https://facebook.com/libreriacentral,2025-04-05,Librería Central,"Respaldamos la propuesta educativa",
f-015,Nota W Radio sobre Hotel Estrella,https://wradio.com/nota-hotel,2025-05-15,W Radio,"El Hotel Estrella se suma a la campaña",https://web.archive.org/web/20250515/https://wradio.com/nota-hotel
f-016,Post X Agencia de Viajes Explora,https://x.com/exploraviajes/status/456,2025-06-20,Agencia Explora,"Creemos en un mejor futuro turístico",
f-017,Evento Bogotá Emprende,https://bogotaemprende.gov.co/evento,2025-01-25,Bogotá Emprende,"Participación activa en foro empresarial",https://web.archive.org/web/20250125/https://bogotaemprende.gov.co/evento
f-018,Post Instagram Salón de Belleza Glamour,https://instagram.com/p/glamour,2025-02-10,Salón Glamour,"Apoyamos la visión de emprendimiento",
f-019,Nota El Espectador sobre Tech Startup,https://elespectador.com/nota-tech,2025-03-25,El Espectador,"La startup tecnológica expresó su respaldo",https://web.archive.org/web/20250325/https://elespectador.com/nota-tech
f-020,Post Facebook Ferretería El Tornillo,https://facebook.com/eltornillo,2025-04-30,Ferretería El Tornillo,"Nos sumamos al proyecto de desarrollo",
f-021,Video YouTube Academia de Idiomas,https://youtube.com/watch?v=academia,2025-05-20,Academia Políglota,"Declaración del director de la academia",
f-022,Post Instagram Restaurante Bogotano,https://instagram.com/p/restbog,2025-06-05,Restaurante El Bogotano,"Apoyamos un país con mejor gastronomía",
f-023,Nota RCN sobre Clínica Dental,https://rcnradio.com/clinica-dental,2025-01-15,RCN Radio,"La Clínica Dental Sonrisa expresó apoyo",https://web.archive.org/web/20250115/https://rcnradio.com/clinica-dental
f-024,Post X Óptica Visión Clara,https://x.com/visionclara/status/789,2025-02-20,Óptica Visión Clara,"Vemos un futuro mejor con Abelardo",
f-025,Evento Medellín Digital,https://medellindigital.gov.co/evento,2025-03-10,Medellín Digital,"Participación en conferencia tecnológica",https://web.archive.org/web/20250310/https://medellindigital.gov.co/evento
f-026,Post Instagram Panadería La Espiga,https://instagram.com/p/laespiga,2025-04-25,Panadería La Espiga,"Pan con propósito, apoyamos a Abelardo",
f-027,Nota Caracol TV sobre Influencer Carlos,https://caracoltv.com/influencer-carlos,2025-05-30,Caracol TV,"El influencer Carlos Gómez declaró su apoyo",https://web.archive.org/web/20250530/https://caracoltv.com/influencer-carlos
f-028,Post Facebook Taller Mecánico AutoPro,https://facebook.com/autopro,2025-06-15,Taller AutoPro,"Construyendo un mejor país juntos",
f-029,Video TikTok Celebridad Ana Torres,https://tiktok.com/@anatorres/video/456,2025-01-30,Ana Torres,"Video de apoyo de la actriz Ana Torres",
f-030,Post Instagram Farmacia Salud Total,https://instagram.com/p/saludtotal,2025-02-25,Farmacia Salud Total,"Salud para todos con Abelardo",
